City_ID,City,Cloudiness,Country,Date,Humidity (%),Lat,Lng,Temperature (F),Windspeed (mph)
87,zeya,88,RU,1540762359,67,53.74,127.27,31.32,6.62
88,san andres,64,PH,1540762359,100,13.32,122.68,80.23,15.01
89,tsovazard,0,AM,1540760400,75,40.48,45.05,42.8,1.12
90,chengde,0,CN,1540762359,49,40.97,117.93,25.92,5.28
91,pimenteiras,80,BR,1540762360,35,-6.24,-41.42,91.62,3.04
92,qaanaaq,44,GL,1540762360,100,77.48,-69.36,1.48,7.74
93,nikolskoye,75,RU,1540760400,92,59.7,30.79,30.2,3.71
94,khatanga,88,RU,1540762361,85,71.98,102.47,21.64,26.42
95,hobart,40,AU,1540760400,66,-42.88,147.33,51.8,4.7
96,port alfred,20,ZA,1540762361,81,-33.59,26.89,72.0,21.61
97,geraldton,90,CA,1540760400,65,49.72,-86.95,41.0,8.05
98,adrar,44,DZ,1540760400,26,27.87,-0.29,82.4,26.4
99,gamba,0,CN,1540762362,56,28.28,88.52,-6.17,2.37
100,hamilton,90,CA,1540761120,87,43.26,-79.87,42.8,3.36
101,vostok,88,RU,1540762363,83,46.45,135.83,23.89,2.15
102,tuktoyaktuk,90,CA,1540760400,92,69.44,-133.03,19.4,6.93
103,kavieng,56,PG,1540762363,100,-2.57,150.8,82.12,6.62
104,namatanai,48,PG,1540762363,100,-3.66,152.44,81.45,1.03
105,berezanka,0,UA,1540762364,92,46.86,31.39,56.74,9.86
106,grootfontein,0,NA,1540762364,40,-19.56,18.1,64.12,4.94
107,aswan,0,EG,1540762364,51,24.09,32.9,70.2,8.86
108,vaini,0,IN,1540762364,56,15.34,74.49,66.73,4.61
109,grand gaube,20,MU,1540760400,82,-20.01,57.66,68.0,5.82
110,merauke,92,ID,1540762365,94,-8.49,140.4,79.87,7.63
111,gimli,48,CA,1540762332,97,50.63,-96.99,40.05,8.86
112,akranes,90,IS,1540760400,100,64.32,-22.07,37.4,5.82
113,carauari,8,BR,1540762365,75,-4.88,-66.9,87.16,4.16
114,fortuna,20,ES,1540760400,34,38.18,-1.13,55.4,14.99
115,sao filipe,44,CV,1540762366,98,14.9,-24.5,77.89,13.67
116,broome,20,GB,1540760160,93,52.47,1.45,41.0,2.24
117,cayenne,0,GF,1540760400,74,4.94,-52.33,84.2,4.7
118,guiyang,88,CN,1540760400,93,26.58,106.71,53.6,3.15
119,coalinga,1,US,1540760160,36,36.14,-120.36,80.6,14.99
120,souillac,90,FR,1540760400,86,45.6,-0.6,41.0,14.99
121,georgetown,20,GY,1540760400,83,6.8,-58.16,82.4,11.41
122,waipawa,8,NZ,1540762368,75,-39.94,176.59,58.27,3.94
123,tasiilaq,0,GL,1540762368,100,65.61,-37.64,26.28,15.23
124,te anau,20,NZ,1540762368,100,-45.41,167.72,45.22,3.6
125,columbus,1,US,1540760280,41,32.46,-84.99,78.8,8.05
126,nome,1,US,1540760100,45,30.04,-94.42,84.2,6.93
127,phan thiet,20,VN,1540762369,97,10.93,108.1,79.47,9.19
